Date,Water_Avg,Water_Min,Water_Max,year,DataType,Air_Avg,Air_Min,Air_Max,Solar_Above_Thr,Solr_Avg,location,season,TimeSeries
2016-02-07,9.09,9.01,9.15,2016,0.0,8.456250000000011,7.269999999999982,10.759999999999991,7,83.56791666666666,Bougival,1,17
2016-02-08,9.14,9.04,9.26,2016,0.0,8.5670833333333,6.360000000000014,10.430000000000007,0,21.256249999999998,Bougival,1,17
2016-02-09,9.09,8.95,9.41,2016,0.0,6.079583333333346,1.25,8.490000000000009,0,20.047916666666666,Bougival,1,17
2016-02-10,8.74,8.6,9.04,2016,0.0,4.331250000000011,3.019999999999982,7.350000000000023,6,59.2525,Bougival,1,17
2016-02-11,8.54,8.45,8.64,2016,0.0,4.921249999999986,2.420000000000016,7.939999999999998,6,66.49916666666667,Bougival,1,17
2016-02-12,8.34,8.23,8.48,2016,0.0,3.628750000000025,2.769999999999982,4.6200000000000045,0,16.140416666666667,Bougival,1,17
2016-02-13,8.0,7.88,8.23,2016,0.0,6.3858333333333235,3.5,9.269999999999982,0,15.479166666666666,Bougival,1,17
2016-02-14,7.7,7.48,7.98,2016,0.0,5.238749999999982,3.0400000000000205,8.300000000000011,0,26.042916666666667,Bougival,1,17
2016-02-15,7.32,7.07,7.47,2016,0.0,3.7450000000000045,-2.8100000000000023,6.699999999999989,6,65.07625,Bougival,1,17
2016-02-16,7.03,6.93,7.19,2016,0.0,0.6583333333333599,-5.25,5.8799999999999955,8,125.68624999999999,Bougival,1,17
2016-02-17,6.8,6.56,6.97,2016,0.0,-0.6754166666666492,-3.5600000000000023,4.8700000000000045,7,75.25375,Bougival,1,17
2016-02-18,6.38,6.28,6.55,2016,0.0,1.2195833333333326,-0.14999999999997726,4.800000000000011,0,16.159583333333334,Bougival,1,17
2016-02-19,5.95,5.69,6.28,2016,0.0,4.373333333333335,1.329999999999984,8.639999999999986,7,98.8575,Bougival,1,17
2016-02-20,5.87,5.65,6.11,2016,0.0,10.430000000000007,9.230000000000018,12.269999999999982,0,16.41625,Bougival,1,17
2016-02-21,6.44,6.12,6.75,2016,0.0,10.674166666666679,9.139999999999986,12.589999999999975,3,42.74791666666667,Bougival,1,17
2016-02-22,7.06,6.75,7.42,2016,0.0,9.578750000000014,4.990000000000009,10.569999999999993,0,21.06125,Bougival,1,17
2016-02-23,7.77,7.43,8.09,2016,0.0,6.068333333333328,-1.6299999999999955,8.980000000000018,6,84.05458333333333,Bougival,1,17
2016-02-24,8.2,7.96,8.45,2016,0.0,2.197499999999991,-2.3799999999999955,6.079999999999984,4,48.056666666666665,Bougival,1,17
2016-02-25,8.53,8.34,8.78,2016,0.0,1.7320833333333212,-1.3199999999999932,5.079999999999984,8,114.11291666666666,Bougival,1,17
2016-02-26,8.53,8.39,8.67,2016,0.0,2.7508333333333326,-1.339999999999975,7.970000000000027,6,81.94333333333334,Bougival,1,17
2016-02-27,8.09,7.8,8.38,2016,0.0,3.0691666666666606,-0.22000000000002728,6.329999999999984,8,96.0825,Bougival,1,17
2016-02-28,7.54,7.3,7.8,2016,0.0,3.121249999999975,0.8299999999999841,6.089999999999975,9,115.37416666666667,Bougival,1,17
2016-03-01,6.78,6.68,6.89,2016,0.0,4.99458333333331,2.0,9.990000000000009,0,17.565416666666668,Bougival,1,17
2016-03-02,6.93,6.76,7.1,2016,0.0,7.822916666666686,5.160000000000025,9.910000000000025,5,73.93416666666667,Bougival,1,17
2016-03-03,7.01,6.87,7.16,2016,0.0,5.799166666666679,4.0400000000000205,7.9599999999999795,0,38.17666666666667,Bougival,1,17
2016-03-04,7.13,6.96,7.36,2016,0.0,6.59041666666667,1.4800000000000182,8.319999999999993,5,60.61333333333334,Bougival,1,17
2016-03-05,7.32,7.14,7.56,2016,0.0,3.6983333333333235,2.1499999999999773,5.449999999999989,3,44.67083333333333,Bougival,1,17
2016-03-06,7.39,7.26,7.57,2016,0.0,4.258333333333326,1.740000000000009,7.490000000000009,7,83.92333333333333,Bougival,1,17
2016-03-07,7.28,7.2,7.35,2016,0.0,2.8958333333333144,-0.19999999999998863,3.839999999999975,1,42.27625,Bougival,1,17
2016-03-08,7.2,7.05,7.39,2016,0.0,4.464999999999975,1.1299999999999955,7.769999999999982,6,69.58541666666666,Bougival,1,17
2016-03-09,7.17,7.04,7.4,2016,0.0,6.253750000000025,5.029999999999973,7.189999999999998,0,23.69875,Bougival,1,17
2016-03-10,7.23,7.11,7.37,2016,0.0,6.68958333333336,2.019999999999982,9.240000000000009,1,36.83875,Bougival,1,17
2016-03-11,7.38,7.19,7.61,2016,0.0,5.564166666666665,-0.7099999999999795,9.5,9,139.33124999999998,Bougival,1,17
2016-03-12,7.59,7.33,7.88,2016,0.0,5.390416666666681,0.4900000000000091,10.95999999999998,9,162.96541666666667,Bougival,1,17
2016-03-13,7.62,7.38,7.88,2016,0.0,5.509999999999991,1.920000000000016,9.120000000000005,10,194.92583333333334,Bougival,1,17
2016-03-14,7.61,7.52,7.86,2016,0.0,5.230416666666656,-1.990000000000009,8.920000000000016,9,114.49583333333334,Bougival,1,17
2016-03-15,8.05,7.7,8.4,2016,0.0,5.87166666666667,0.08999999999997499,11.060000000000002,9,168.89166666666668,Bougival,1,17
2016-03-16,8.22,8.03,8.32,2016,0.0,6.242916666666645,1.0299999999999727,7.889999999999986,5,63.23208333333333,Bougival,1,17
2016-03-17,8.29,8.01,8.58,2016,0.0,6.200416666666683,-0.9200000000000159,10.45999999999998,10,219.35500000000002,Bougival,1,17
2016-03-18,8.44,8.15,8.74,2016,0.0,4.505833333333328,0.5099999999999909,7.660000000000025,9,178.10375,Bougival,1,17
2016-03-19,8.51,8.45,8.6,2016,0.0,4.738749999999982,3.5500000000000114,5.579999999999984,5,73.63541666666667,Bougival,1,17
2016-03-20,8.37,8.3,8.45,2016,0.0,5.395833333333314,3.8700000000000045,6.170000000000016,0,31.08583333333333,Bougival,1,17
2016-03-21,8.48,8.32,8.65,2016,0.0,6.972916666666663,4.860000000000014,9.779999999999973,0,37.17666666666667,Bougival,2,17
2016-03-22,8.93,8.62,9.32,2016,0.0,8.13166666666666,3.1899999999999977,11.920000000000016,9,127.00666666666666,Bougival,2,17
2016-03-23,9.06,8.93,9.16,2016,0.0,6.371249999999975,0.9900000000000091,9.949999999999989,9,97.71166666666666,Bougival,2,17
2016-03-24,9.26,9.11,9.4,2016,0.0,6.925416666666649,2.519999999999982,10.180000000000007,0,33.31583333333333,Bougival,2,17
2016-03-25,9.48,9.31,9.72,2016,0.0,8.882499999999993,2.7900000000000205,11.569999999999993,0,40.84791666666667,Bougival,2,17
2016-03-26,9.78,9.45,10.11,2016,0.0,10.011666666666656,5.170000000000016,14.449999999999989,0,38.42166666666667,Bougival,2,17
2016-03-27,10.22,9.99,10.61,2016,0.0,9.429583333333369,6.480000000000018,13.04000000000002,8,103.71583333333332,Bougival,2,17
2016-03-28,10.38,10.13,10.7,2016,0.0,9.971249999999998,5.740000000000009,13.25,6,110.29458333333334,Bougival,2,17
2016-03-29,10.6,10.3,10.86,2016,0.0,9.507083333333355,6.980000000000018,13.189999999999998,9,128.78125,Bougival,2,17
2016-03-30,10.87,10.77,10.97,2016,0.0,8.455833333333374,5.740000000000009,9.75,0,33.69166666666667,Bougival,2,17
2016-03-31,10.91,10.84,11.01,2016,0.0,6.531666666666695,1.2099999999999795,7.1200000000000045,1,40.86541666666667,Bougival,2,17
2016-04-01,10.765,10.684999999999999,10.870000000000001,2016,1.0,6.162499999999966,0.08999999999997499,9.79000000000002,10,162.02291666666665,Bougival,2,17
2016-04-02,10.62,10.53,10.73,2016,0.0,6.2549999999999955,1.7300000000000182,9.910000000000025,4,60.0925,Bougival,2,17
2016-04-03,10.71,10.42,11.08,2016,0.0,13.951250000000016,9.569999999999993,19.569999999999993,9,153.29708333333335,Bougival,2,17
2016-04-04,11.14,10.86,11.49,2016,0.0,12.40416666666664,8.100000000000023,14.589999999999975,9,134.21708333333333,Bougival,2,17
2016-04-05,11.61,11.35,11.99,2016,0.0,10.62833333333333,4.279999999999973,13.389999999999986,10,158.73708333333335,Bougival,2,17
2016-04-06,12.08,11.79,12.4,2016,0.0,8.484583333333319,4.670000000000016,14.04000000000002,10,99.38083333333333,Bougival,2,17
2016-04-07,12.37,12.12,12.67,2016,0.0,8.153333333333364,4.660000000000025,11.589999999999975,8,101.435,Bougival,2,17
2016-04-08,12.51,12.29,12.81,2016,0.0,8.441250000000025,3.0299999999999727,12.839999999999975,10,165.92999999999998,Bougival,2,17
2016-04-09,12.49,12.35,12.68,2016,0.0,5.999583333333305,0.4900000000000091,10.850000000000023,4,58.86333333333334,Bougival,2,17
2016-04-10,12.52,12.36,12.73,2016,1.0,8.78125,2.6399999999999864,15.689999999999998,11,193.52874999999997,Bougival,2,17
2016-04-11,12.52,12.36,12.73,2016,1.0,10.978749999999991,2.819999999999993,14.490000000000009,8,80.06916666666666,Bougival,2,17
2016-04-12,12.55,12.37,12.78,2016,0.0,10.004166666666663,4.850000000000023,15.019999999999982,9,133.76833333333335,Bougival,2,17
2016-04-13,12.76,12.46,13.17,2016,0.0,11.883333333333326,6.360000000000014,16.410000000000025,8,142.09166666666667,Bougival,2,17
2016-04-14,13.03,12.69,13.36,2016,0.0,10.809583333333364,8.100000000000023,16.810000000000002,10,156.19916666666668,Bougival,2,17
2016-04-15,13.39,13.1,13.76,2016,0.0,12.24333333333334,7.910000000000025,15.75,11,134.32125,Bougival,2,17
2016-04-16,13.59,13.37,13.83,2016,0.0,9.733749999999986,2.089999999999975,12.259999999999991,9,113.43333333333334,Bougival,2,17
2016-04-17,13.57,13.34,13.76,2016,0.0,5.99458333333331,0.19999999999998863,10.379999999999995,11,188.32333333333335,Bougival,2,17
2016-04-18,13.56,13.16,13.94,2016,0.0,7.089999999999975,1.5199999999999818,13.550000000000011,11,238.87208333333334,Bougival,2,17
2016-04-19,13.85,13.48,14.28,2016,0.0,8.96666666666664,3.7900000000000205,15.170000000000016,11,253.04458333333332,Bougival,2,17
2016-04-20,13.92,13.59,14.25,2016,0.0,12.748333333333335,8.75,17.20999999999998,11,215.36625,Bougival,2,17
2016-04-21,14.01,13.74,14.28,2016,0.0,15.004166666666663,9.649999999999977,20.060000000000002,10,111.86458333333333,Bougival,2,17
2016-04-22,14.11,13.91,14.31,2016,0.0,12.523750000000007,8.300000000000011,15.560000000000002,6,68.32916666666667,Bougival,2,17
2016-04-23,14.02,13.79,14.21,2016,0.0,8.443749999999966,1.3500000000000227,9.610000000000014,4,62.427083333333336,Bougival,2,17
2016-04-24,13.47,13.33,13.79,2016,0.0,4.410000000000025,-0.05000000000001137,8.350000000000023,8,79.17083333333333,Bougival,2,17
2016-04-25,13.17,12.96,13.36,2016,0.0,6.967083333333335,5.360000000000014,11.279999999999973,10,135.77958333333333,Bougival,2,17
2016-04-26,12.84,12.73,12.99,2016,0.0,5.800833333333344,1.329999999999984,6.259999999999991,9,118.94041666666668,Bougival,2,17
2016-04-27,12.62,12.41,12.88,2016,0.0,4.962499999999977,-0.060000000000002274,8.70999999999998,12,153.00666666666666,Bougival,2,17
2016-04-28,12.54,12.35,12.73,2016,0.0,6.262499999999989,2.25,11.649999999999977,12,224.40374999999997,Bougival,2,17
2016-04-29,12.23,12.01,12.49,2016,0.0,8.5266666666667,5.949999999999989,13.149999999999977,10,158.06541666666666,Bougival,2,17
2016-04-30,12.17,12.05,12.28,2016,0.0,7.847916666666663,1.6899999999999977,10.519999999999982,10,132.95208333333332,Bougival,2,17
2016-05-01,12.17,11.78,12.7,2016,0.0,8.259583333333296,2.2200000000000273,14.550000000000011,12,265.2754166666667,Bougival,2,17
2016-05-02,12.34,11.93,12.72,2016,0.0,10.451666666666654,5.439999999999998,17.629999999999995,10,178.10041666666666,Bougival,2,17
2016-05-03,12.9,12.53,13.42,2016,0.0,11.500833333333333,3.980000000000018,14.899999999999977,12,198.64791666666667,Bougival,2,17
2016-05-04,13.48,13.11,14.04,2016,0.0,11.354583333333323,7.220000000000027,17.769999999999982,12,271.65416666666664,Bougival,2,17
2016-05-05,14.05,13.7,14.52,2016,0.0,13.814999999999998,8.050000000000011,20.079999999999984,13,282.91,Bougival,2,17
2016-05-06,14.62,14.23,15.15,2016,0.0,15.860000000000014,10.550000000000011,23.079999999999984,12,265.57458333333335,Bougival,2,17
